year,iso_code,country,ft_globalclimatephysicalriskindexgcpri
1999,BHS,Bahamas,3.928043847956511
1993,BHR,Bahrain,13.493394653654034
1994,BHR,Bahrain,12.8926226616242
1995,BHR,Bahrain,14.53682581616414
1996,BHR,Bahrain,16.659235554557466
1997,BHR,Bahrain,20.40101424982918
1998,BHR,Bahrain,20.79839940288826
1999,BHR,Bahrain,19.877706351768417
1993,BGD,Bangladesh,9.180832289518596
1994,BGD,Bangladesh,7.912900191616348
1995,BGD,Bangladesh,12.443275265922306
1996,BGD,Bangladesh,10.382217652030716
1997,BGD,Bangladesh,7.642223363087827
1998,BGD,Bangladesh,7.4233979546619215
1999,BGD,Bangladesh,3.3848405270085444
1993,BLR,Belarus,13.740884865055651
1994,BLR,Belarus,15.047489277995163
1995,BLR,Belarus,15.82503882295898
1996,BLR,Belarus,20.96929774780669
1997,BLR,Belarus,15.38833621384963
1998,BLR,Belarus,14.323413317703556
1999,BLR,Belarus,18.878879961014896
1993,BEL,Belgium,28.437390349912096
1994,BEL,Belgium,23.13301340923061
1995,BEL,Belgium,29.835650876192528
1996,BEL,Belgium,33.49592273690231
1997,BEL,Belgium,27.0460637957112
1998,BEL,Belgium,21.184313837846968
1999,BEL,Belgium,24.47178180960696
1993,BLZ,Belize,10.317119193535534
1994,BLZ,Belize,12.019272048810873
1995,BLZ,Belize,5.093185210137503
1996,BLZ,Belize,14.72147686579898
1997,BLZ,Belize,15.961232769751268
1998,BLZ,Belize,20.064375608230577
1999,BLZ,Belize,13.057799207069388
1993,BEN,Benin,11.744877914849154
1994,BEN,Benin,11.106636905587504
1995,BEN,Benin,10.983332547388676
1996,BEN,Benin,10.054893619834427
1997,BEN,Benin,9.258903503699068
1998,BEN,Benin,17.643136641000755
1999,BEN,Benin,10.764018523976835
1993,BMU,Bermuda,28.311960272227964
1994,BMU,Bermuda,36.86825061661736
1995,BMU,Bermuda,25.070005163077703
1996,BMU,Bermuda,22.82640029727601
1997,BMU,Bermuda,19.34571273268845
1998,BMU,Bermuda,28.36495712603871
1999,BMU,Bermuda,22.98570550544914
1993,BOL,Bolivia,12.0906500432219
1994,BOL,Bolivia,10.636696399368171
1995,BOL,Bolivia,12.0865815346035
1996,BOL,Bolivia,9.69067132046357
1997,BOL,Bolivia,10.951518606046726
1998,BOL,Bolivia,9.9952268014821
1999,BOL,Bolivia,10.256161744878764
1993,BIH,Bosnia and Herzegovina,20.197180420285044
1994,BIH,Bosnia and Herzegovina,14.293221017209644
1995,BIH,Bosnia and Herzegovina,10.004290629001144
1996,BIH,Bosnia and Herzegovina,13.833762186194534
1997,BIH,Bosnia and Herzegovina,22.5597916483955
1998,BIH,Bosnia and Herzegovina,14.820656157452245
1999,BIH,Bosnia and Herzegovina,13.15912521852772
1993,BWA,Botswana,8.763161006410215
1994,BWA,Botswana,10.19112608914011
1995,BWA,Botswana,17.36746350363712
1996,BWA,Botswana,15.307409243792511
1997,BWA,Botswana,13.526798900976344
1998,BWA,Botswana,14.084617041593232
1999,BWA,Botswana,11.879469504564092
1993,BRA,Brazil,6.735921987702448
1994,BRA,Brazil,8.772684152371092
1995,BRA,Brazil,9.127429015527234
1996,BRA,Brazil,9.225806853578993
1997,BRA,Brazil,9.844796866095102
1998,BRA,Brazil,14.652063844251431
1999,BRA,Brazil,13.707305528441674
1993,BRN,Brunei,7.146854526428403
1994,BRN,Brunei,12.24272853693089
1995,BRN,Brunei,16.50178437291653
1996,BRN,Brunei,20.98730862741979
1997,BRN,Brunei,18.54737400497345
1998,BRN,Brunei,28.7514906051689
1999,BRN,Brunei,22.309129679250773
1993,BGR,Bulgaria,11.77328721477032
1994,BGR,Bulgaria,15.96442210332486
1995,BGR,Bulgaria,14.072771756334523
1997,BGR,Bulgaria,12.898908941323906
1998,BGR,Bulgaria,15.993236702667318
1999,BGR,Bulgaria,11.403229952567711
1993,BFA,Burkina Faso,13.46338243865832
1994,BFA,Burkina Faso,13.956866794164924
1995,BFA,Burkina Faso,10.810823552981978
1996,BFA,Burkina Faso,9.834024183056286
1997,BFA,Burkina Faso,8.183336313753193
1998,BFA,Burkina Faso,12.104988375516417
1999,BFA,Burkina Faso,12.120447001051764
1993,BDI,Burundi,6.861420769869793
1994,BDI,Burundi,5.627115387810821
1995,BDI,Burundi,18.78628143605715
1996,BDI,Burundi,10.113332149587045
1997,BDI,Burundi,3.9858910238715697
1998,BDI,Burundi,0.2624671916010498
1999,BDI,Burundi,0.0
1993,KHM,Cambodia,4.049570023362384
1994,KHM,Cambodia,4.279355419323936
1995,KHM,Cambodia,10.390332224514715
1996,KHM,Cambodia,9.639719723091654
1997,KHM,Cambodia,4.173715696411389
1998,KHM,Cambodia,29.82810582277928
1999,KHM,Cambodia,16.911834884275827
1993,CMR,Cameroon,6.923536384523886
1994,CMR,Cameroon,6.83065457052572
1995,CMR,Cameroon,4.5758045101980525
1996,CMR,Cameroon,3.4062014871439903
1997,CMR,Cameroon,2.3190240745065087
1998,CMR,Cameroon,4.71944121240344
1999,CMR,Cameroon,3.197094025247619
1993,CAN,Canada,13.281836673172354
1994,CAN,Canada,16.97928554479923
1995,CAN,Canada,14.424444563370065
1996,CAN,Canada,15.848994899840893
1997,CAN,Canada,15.246293059265842
1998,CAN,Canada,14.496235748333996
1999,CAN,Canada,14.004525836432032
1993,CPV,Cape Verde,16.187935371229266
1994,CPV,Cape Verde,17.205669074990873
1995,CPV,Cape Verde,21.378096796136926
1996,CPV,Cape Verde,7.345630133780093
1997,CPV,Cape Verde,6.551840718617023
1998,CPV,Cape Verde,11.584308550613748
1999,CPV,Cape Verde,12.38287905016224
1993,CAF,Central African Republic,10.026580209312934
1994,CAF,Central African Republic,10.339299309714209
1995,CAF,Central African Republic,6.398473493094649
1996,CAF,Central African Republic,6.281516148209033
1997,CAF,Central African Republic,8.77414088935478
1998,CAF,Central African Republic,10.310913996279009
1999,CAF,Central African Republic,6.127677321118781
1993,TCD,Chad,7.360358882750817
1994,TCD,Chad,11.821672483174588
1995,TCD,Chad,3.0310460671285786
1996,TCD,Chad,2.224872837867623
1997,TCD,Chad,3.0861366256623737
1998,TCD,Chad,4.038974580737197
